developer,id,release_date,title,Action,Adventure,Casual,Education,Indie,RPG,Racing,Simulation,Sports,Strategy,year
"Dataweb, Inc.",700270,2017-10-20,Boratium Wars,1,0,0,0,1,0,0,0,0,0,2017
Fishing Planet LLC,591986,2017-10-19,Fishing Planet: Kayaks Adventure Pack,0,0,0,0,0,0,0,1,1,0,2017
SC Jogos,731750,2017-10-19,Andarilho - Vehicles,1,1,1,0,1,0,0,1,0,0,2017
Choice of Games,726230,2017-10-19,The Superlatives: Aetherfall,0,1,0,0,1,1,0,0,0,0,2017
Firaxis,645401,2017-10-19,Civilization VI - Khmer and Indonesia Civilization &amp; Scenario Pack,0,0,0,0,0,0,0,0,0,1,2017
Stas Shostak,610840,2017-10-19,JASEM: Just Another Shooter with Electronic Music,1,0,0,0,1,0,0,0,0,0,2017
"Mute Canary,Mauvesic",596520,2017-10-19,Please - Soundtrack,1,1,0,0,1,0,0,0,0,0,2017
GoldenGod Games,722990,2017-10-19,Dungeons of Hell,0,0,1,0,1,1,0,0,0,1,2017
Firestorm Entertainment,727110,2017-10-14,The Lost Wizard,0,1,0,0,1,0,0,0,0,0,2017
Nival,647530,2017-10-19,Prime Arena,1,0,0,0,0,1,0,0,0,0,2017
Azarashi no Yakata,701580,2017-10-20,Ninja Goemon and Immortal Jewels,0,0,0,0,0,1,0,0,0,0,2017
Darius Bode,630010,2017-10-19,OMSI 2 Add-On HafenCity - Hamburg modern,0,0,0,0,0,0,0,1,0,0,2017
Trains &amp; Drivers,562370,2017-10-19,TS Marketplace: Chatham Main Line Scenario Pack 01 Add-On,0,0,0,0,0,0,0,1,0,0,2017
VITALII HOLIEV,718680,2017-10-20,Left&amp;Right,0,0,1,0,1,0,0,0,0,0,2017
United Independent Entertainment GmbH,663250,2017-10-19,Professional Farmer: American Dream,0,0,0,0,0,0,0,1,0,0,2017
Dovetail Games,500212,2017-10-19,Train Simulator: BR Class 402 '2-HAL' EMU Add-On,0,0,0,0,0,0,0,1,0,0,2017
Naturally Intelligent,378410,2017-10-19,Don't Be Patchman,1,1,0,0,1,0,0,0,0,0,2017
Crabby Team,726580,2017-10-19,Game Machines: Arcade Casino,0,0,1,0,1,0,0,1,1,0,2017
Overhype Studios,732460,2017-10-19,Battle Brothers - Lindwurm,0,0,0,0,1,1,0,0,0,1,2017
Chris Bell – Creative Design Studios,643671,2017-10-19,FSX Steam Edition - Night Environment: Norway Add-On,0,0,0,0,0,0,0,1,0,0,2017
Alabeo,609822,2017-10-19,FSX: Steam Edition - Beechcraft® D17 Staggerwing,0,0,0,0,0,0,0,1,0,0,2017
Colossal Order Ltd.,614580,2017-10-19,Cities: Skylines - Green Cities,0,0,0,0,0,0,0,1,0,1,2017
"Samantha ""Avanya"" Woods",715190,2017-10-19,Cities: Skylines - Content Creator Pack: European Suburbia,0,0,0,0,0,0,0,1,0,1,2017
Bacq Stellan,720480,2017-10-19,Flappy Galaxy,1,0,1,0,1,0,1,0,0,0,2017
Bacq Stellan,722310,2017-10-19,Flappy Galaxy : Master Level,1,0,1,0,1,0,1,0,0,0,2017
"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",723650,2017-10-19,"Gremlins, Inc. – Famous Figures",0,0,0,0,1,0,0,0,0,1,2017
Point Bleep Studios,722870,2017-10-19,The Mind of Marlo,0,1,0,0,1,0,0,0,0,0,2017
Bloodline Games,715990,2017-10-19,Maybot Run,1,0,0,0,1,0,0,0,0,0,2017
The Revills Games,725170,2017-10-18,Home Run Solitaire,0,0,1,0,1,0,0,0,0,0,2017
Top Shelf Studios,727280,2017-10-14,Scrap,1,0,0,0,1,0,0,0,0,0,2017
"Jackbox Games, Inc.",714760,2017-10-18,The Jackbox Party Pack 4 - Soundtrack,0,0,1,0,1,0,0,0,0,1,2017
"Jackbox Games, Inc.",610180,2017-10-18,The Jackbox Party Pack 4,0,0,1,0,1,0,0,0,0,1,2017
Acute Games,715310,2017-10-18,Urban Rivals,1,0,0,0,0,0,0,0,0,1,2017
Puzzles By Joe,733810,2017-10-18,Clutter VI: Leigh's Story,0,0,1,0,1,0,0,0,0,0,2017
RCMADIAX,722680,2017-10-18,BLOK DROP NEO,0,0,1,0,1,0,0,0,0,0,2017
Fury Software,732500,2017-10-18,Strategic Command WWII: Community Pack,0,0,0,0,0,0,0,0,0,1,2017
Notus Games Ltd,702310,2017-10-18,Tricks and Treats,0,0,1,0,1,0,0,0,0,0,2017
Crasleen Games,650440,2017-10-18,Warbanners,0,0,0,0,1,1,0,0,0,1,2017
Ruaz.404,716890,2017-10-18,Liquidator,1,0,0,0,1,0,0,0,0,0,2017
Laush Dmitriy Sergeevich,726320,2017-10-18,Girl Blonde,0,1,0,0,1,0,0,0,0,0,2017
2xMilk,674440,2017-10-18,Skipper,0,0,1,0,1,0,0,0,0,0,2017
FeelThere,728700,2017-10-18,Boston Logan [KBOS] airport for Tower!3D Pro,0,0,0,0,1,0,0,1,0,0,2017
Mandragora,622370,2017-10-18,Freaky Awesome,1,1,1,0,1,1,0,1,0,0,2017
Mandragora,683270,2017-10-18,Freaky Awesome OST,1,1,1,0,1,1,0,1,0,0,2017
Laundry Bear Games,578720,2017-10-18,A Mortician's Tale,0,0,0,0,1,0,0,1,0,0,2017
Laundry Bear Games,736320,2017-10-18,A Mortician's Tale Original Soundtrack,0,0,0,0,1,0,0,1,0,0,2017
XGen Studios,712420,2017-07-25,The Low Road - Win Well - Songs On The Low Road,0,1,0,0,1,0,0,0,0,0,2017
XGen Studios,708710,2008-05-12,Defend Your Castle,1,0,1,0,1,0,0,0,0,0,2008
XGen Studios,695380,2017-08-08,The Low Road OST,0,1,0,0,1,0,0,0,0,0,2017
Super Suite Studios,659630,2017-10-18,Tiny Toyfare,1,0,0,0,1,0,0,0,0,1,2017
shysaursoft,699150,2017-10-18,Rex: Another Island,1,0,0,0,1,0,0,0,0,0,2017
"Maciej Targoni,Michal Pawlowski",676430,2017-10-18,PUSH,0,0,1,0,1,0,0,0,0,0,2017
Ultrabit,626010,2017-10-18,Office Space: Idle Profits,0,0,0,0,0,0,0,1,0,0,2017
Capcom,721147,2017-10-17,Marvel vs. Capcom: Infinite - Nemesis Tyrant Costume,1,0,0,0,0,0,0,0,0,0,2017
Capcom,721149,2017-10-17,Marvel vs. Capcom: Infinite - Arthur Fallen Angel Armor Costume,1,0,0,0,0,0,0,0,0,0,2017
Capcom,721148,2017-10-17,Marvel vs. Capcom: Infinite - Spencer Gottfried Costume,1,0,0,0,0,0,0,0,0,0,2017
100 Stones Interactive,695580,2017-10-17,The Art and Design of The Eyes of Ara,0,1,0,0,1,0,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",628170,2017-10-17,Uncharted Waters II / 大航海時代 II,0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",628050,2017-10-17,Romance of the Three Kingdoms IX with Power Up Kit / 三國志IX with パワーアップキット,0,0,0,0,0,0,0,0,0,1,2017
"KOEI TECMO GAMES CO., LTD.",628120,2017-10-17,NOBUNAGA’S AMBITION: Ranseiki with Power Up Kit / 信長の野望・嵐世記 with パワーアップキット,0,0,0,0,0,0,0,0,0,1,2017
Second Order,661920,2017-10-18,Claybook,1,0,1,0,1,0,0,0,0,0,2017
Classroom Graffiti Productions,600000,2017-10-18,The St Christopher's School Lockdown,0,1,0,0,0,0,0,0,0,0,2017
"Visual Concepts,Yuke's Co., LTD",664430,2017-10-17,WWE 2K18,0,0,0,0,0,0,0,1,1,0,2017
Blue Mammoth Games,291550,2017-10-17,Brawlhalla,1,0,0,0,1,0,0,0,0,0,2017
"Visual Concepts,Yuke's Co., LTD",706060,2017-10-17,WWE 2K18 - Season Pass,0,0,0,0,0,0,0,1,1,0,2017
"Visual Concepts,Yuke's Co., LTD",706080,2017-10-17,WWE 2K18 - MyPlayer Kick Start,0,0,0,0,0,0,0,1,1,0,2017
"Visual Concepts,Yuke's Co., LTD",706070,2017-10-17,WWE 2K18 - Accelerator,0,0,0,0,0,0,0,1,1,0,2017
Ubisoft Montreal,709172,2017-10-17,Tom Clancy's Rainbow Six® Siege - Pulse Desert Grit Set,1,0,0,0,0,0,0,0,0,0,2017
Meepower,699480,2017-10-17,The Doorbreaker,1,1,1,0,1,1,0,0,0,0,2017
The Dangerous Kitchen,717540,2017-10-17,De Mambo,1,0,0,0,1,0,0,0,0,0,2017
Butterflyware,643970,2017-10-17,Return to Planet X,1,1,0,0,1,0,0,0,0,0,2017
Funtime,457590,2016-04-01,Luna Online: Reborn,0,1,1,0,0,1,0,0,0,0,2016
Anton Shatalov,685450,2017-10-12,Cobos,1,0,0,0,0,0,0,0,0,0,2017
"SmiteWorks USA, LLC",727820,2017-10-17,Fantasy Grounds - Investigator Handbook (CoC7E),0,0,0,0,1,1,0,0,0,1,2017
Capcom,721101,2017-10-17,Marvel vs. Capcom: Infinite - Black Panther,1,0,0,0,0,0,0,0,0,0,2017
Capcom,721105,2017-10-17,Marvel vs. Capcom: Infinite - Monster Hunter,1,0,0,0,0,0,0,0,0,0,2017
Capcom,721104,2017-10-17,Marvel vs. Capcom: Infinite - Sigma,1,0,0,0,0,0,0,0,0,0,2017
Capcom,721106,2017-10-17,Marvel vs. Capcom: Infinite - Captain Marvel Warbird Costume,1,0,0,0,0,0,0,0,0,0,2017
Capcom,721108,2017-10-17,Marvel vs. Capcom: Infinite - Joe Fixit Costume,1,0,0,0,0,0,0,0,0,0,2017
Christian Piano,556260,2017-10-17,Gil's Lucid Dreams,0,1,0,0,1,0,0,0,0,0,2017
Ubisoft - San Francisco,637757,2017-10-17,Rocksmith® 2014 Edition – Remastered – Bachman-Turner Overdrive Song Pack,0,0,1,0,0,0,0,1,0,0,2017
Ubisoft - San Francisco,637758,2017-10-17,Rocksmith® 2014 Edition – Remastered – Bachman-Turner Overdrive - “Takin’ Care of Business”,0,0,1,0,0,0,0,1,0,0,2017
Ubisoft - San Francisco,637759,2017-10-17,Rocksmith® 2014 Edition – Remastered – Bachman-Turner Overdrive - “You Ain’t Seen Nothing Yet”,0,0,1,0,0,0,0,1,0,0,2017
Ubisoft San Francisco,564793,2017-10-16,South Park™: The Fractured But Whole™ - Relics of Zaron,0,0,0,0,0,1,0,0,0,0,2017
Ubisoft San Francisco,564794,2017-10-16,South Park™: The Fractured But Whole™ - Season Pass,0,0,0,0,0,1,0,0,0,0,2017
Ubisoft San Francisco,488790,2017-10-16,South Park™: The Fractured But Whole™,0,0,0,0,0,1,0,0,0,0,2017
Dan Fornace,730770,2017-10-17,Rivals of Aether: Ranno and Clairen,0,0,0,0,1,0,0,0,0,0,2017
Ubisoft - San Francisco,637760,2017-10-17,Rocksmith® 2014 Edition – Remastered – Bachman-Turner Overdrive - “Let It Ride”,0,0,1,0,0,0,0,1,0,0,2017
10kbit Games,719380,2017-10-17,Blast Lander,1,0,1,0,1,0,0,0,0,0,2017
Creobit,575890,2017-10-17,Katy and Bob Way Back Home,0,0,1,0,0,0,0,0,0,1,2017
"KOEI TECMO GAMES CO., LTD.",688248,2017-10-17,"BLUE REFLECTION - Summer Clothes Set A (Hinako, Sarasa, Mao)",0,0,0,0,0,1,0,0,0,0,2017
Alexander Shvab,708930,2017-09-01,Dice,0,0,1,0,1,0,0,1,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688249,2017-10-17,"BLUE REFLECTION - Summer Clothes Set B (Yuzu, Shihori, Kei)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688250,2017-10-17,"BLUE REFLECTION - Summer Clothes Set C (Lime, Fumio, Chihiro)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688251,2017-10-17,"BLUE REFLECTION - Summer Clothes Set D (Sanae, Ako, Yuri)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688252,2017-10-17,"BLUE REFLECTION - Summer Clothes Set E (Rin, Kaori, Rika)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688253,2017-10-17,"BLUE REFLECTION - Bath Towels Set A (Hinako, Sarasa, Mao)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688255,2017-10-17,"BLUE REFLECTION - Bath Towels Set C (Lime, Fumio, Chihiro)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688256,2017-10-17,"BLUE REFLECTION - Bath Towels Set D (Sanae, Ako, Yuri)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688257,2017-10-17,"BLUE REFLECTION - Bath Towels Set E (Rin, Kaori, Rika)",0,0,0,0,0,1,0,0,0,0,2017
"KOEI TECMO GAMES CO., LTD.",688254,2017-10-17,"BLUE REFLECTION - Bath Towels Set B (Yuzu, Shihori, Kei)",0,0,0,0,0,1,0,0,0,0,2017
"Jo Erlend Sund,Simen Nygaard",675351,2017-10-17,X-Plane 11 - Add-on: Aerosoft - Airport Svolvaer,0,0,0,0,0,0,0,1,0,0,2017
BUG-Studio,718320,2017-10-17,FoxyLand,0,1,1,0,1,0,0,0,0,0,2017
Pixel with Hat,722881,2017-10-16,Senalux Level Pack 3,0,0,0,0,1,0,0,0,0,0,2017
"Team NINJA,KOEI TECMO GAMES CO., LTD.",724060,2017-10-17,DOA5LR Halloween Costumes 2017 Full Set,1,0,0,0,0,0,0,0,0,0,2017
Infernal Anvil Games,556920,2017-10-16,Equilibrium Of Divinity,0,0,0,0,1,1,0,0,0,0,2017
Supertype,410830,2017-10-16,ARENA GODS®,1,0,0,0,1,0,0,0,1,0,2017
Myarcadegames Studios,736330,2017-10-16,Fidget Spinner Editor - Expansion Pack 1,1,1,1,0,1,0,0,1,1,1,2017
DUEL,725640,2017-10-16,DUEL,0,0,0,0,1,0,0,0,0,0,2017
Gestalt Development Studio,512160,2017-10-16,Volleying,0,0,1,0,1,0,0,0,1,0,2017
Grid Sage Games,722730,2017-10-16,Cogmind,0,1,0,0,1,1,0,0,0,1,2017
Fabio Cunha,726070,2017-10-16,Hidden Object - Sweet Home,0,1,1,0,1,0,0,1,0,0,2017
Nitrous Butterfly,704510,2017-10-16,Mercury Fallen,0,0,0,0,1,0,0,1,0,1,2017
Ninja Kiwi,678800,2017-10-16,SAS: Zombie Assault 4,1,0,0,0,0,1,0,0,0,0,2017
Fazz Brothers,710820,2017-10-16,BELPAESE: Homecoming,0,1,0,0,1,0,0,0,0,0,2017
Thalasse Games,700830,2017-10-16,Immersive Poetry,0,1,1,0,1,0,0,0,0,0,2017
Nijumi Games,685760,2017-10-16,Stones of Rome,0,0,1,0,0,0,0,0,0,0,2017
Leonardo Alexandrino,717060,2017-10-16,Konrad the Rocket,1,0,0,0,1,0,0,0,0,0,2017
PF3D,708120,2017-10-16,Printer Forge 3D,0,0,0,0,0,0,0,0,0,0,2017
Harrison Went,717000,2017-10-14,SKIMMERZ,1,0,1,0,1,0,0,0,0,0,2017
Steven Taylor,660340,2017-10-14,Robot King Part I: Rebooted and Ready,1,0,0,0,1,0,0,0,0,0,2017
Dave Gumble,717190,2017-10-15,Super Dungeon Master,1,1,1,0,1,1,0,0,0,1,2017
Why Not Games,724510,2017-10-14,The Quiet Sleep,0,0,0,0,1,0,0,0,0,1,2017
A.Lepunov,718980,2017-10-16,Grey Zone,1,1,0,0,1,0,0,0,0,1,2017
Caden Goodwin,717820,2017-10-16,Boom Island,1,0,0,0,1,0,0,0,0,0,2017
Bemoworld Studios,692680,2017-10-15,Don't Explode,1,0,0,0,1,0,0,0,0,0,2017
ZtarLab,721940,2017-10-15,Daily Run,0,0,1,0,1,0,0,0,0,0,2017
Sylvain Seccia,719740,2017-10-16,Pi,1,0,0,0,1,0,1,0,0,0,2017
STUDIO MUNGO,673920,2017-10-16,Maso Marble,0,0,1,0,0,0,0,0,0,0,2017
Code Horizon,715070,2017-10-13,Gold Rush: The Game - Collector's Edition Upgrade,0,0,0,0,1,0,0,1,0,0,2017
Realmforge Studios,493900,2017-10-13,Dungeons 3,0,0,0,0,0,0,0,1,0,1,2017
Home Net Games,723790,2017-10-13,The Pirate: Plague of the Dead,1,1,0,0,1,0,0,1,0,1,2017
ERS G Studios,723960,2017-10-13,Twilight Phenomena: Strange Menagerie Collector's Edition,0,1,1,0,0,0,0,0,0,0,2017
Trion Worlds,724840,2017-10-13,RIFT - Mummified Power Pack,0,0,0,0,0,1,0,0,0,0,2017
SluggishtacoGames,677700,2017-07-10,Attack of the Gooobers,1,0,0,0,1,0,0,0,0,0,2017
ANV Team,697930,2017-10-10,Brutal Runner,1,0,0,0,1,0,0,0,0,0,2017
10ravens s.r.o.,657020,2017-10-13,Save Dash,1,0,0,0,1,0,0,0,0,0,2017
Spasman Games,569720,2017-10-13,TUNNEL DIVERS,1,0,0,0,1,0,0,0,0,0,2017
Spasman Games,626491,2017-10-13,TAC-CORP VIP Access,1,0,0,0,1,0,0,0,0,0,2017
Avekvist,699470,2017-10-13,Landon,1,1,0,0,1,1,0,0,0,0,2017
Factus Games,462940,2017-10-13,Making History: The Second World War,0,0,0,0,1,0,0,1,0,1,2017
Alder Games,549940,2017-10-13,Magical Mysteries: Original Soundtrack,0,1,1,0,1,1,0,0,0,1,2017
Chainsawesome Games,716170,2017-10-13,Aftercharge ( old alpha ),1,0,0,0,0,0,0,0,0,0,2017
TotalDistraction,699100,2017-10-13,Megaton: Total Destruction,1,0,0,0,0,0,0,0,0,1,2017
"Mindware Co.,Ltd.",690710,2017-10-13,HEIANKYO ALIEN / 平安京エイリアン,1,0,0,0,1,0,0,0,0,0,2017
Xenturion,700560,2017-10-13,Druid's Tale: Crystal Cave,1,0,1,0,1,1,0,1,0,0,2017
Kev Jackson,706400,2017-10-13,DEATHS MAZE,1,1,1,0,1,1,0,0,0,0,2017
Nickervision Studios,715010,2017-10-13,Diamo XL,1,0,1,0,1,0,0,0,0,0,2017
vNovel Interactive / Team BG,567690,2017-10-13,Songs of Araiah: Re-Mastered Edition,0,1,1,0,1,1,0,0,0,0,2017
Xivek's Toybox,724030,2017-10-17,Buffy Stole Your Sandwich,0,0,0,0,1,0,0,0,0,0,2017
Immersed Games,700320,2017-10-13,Tyto Ecology - Cretaceous Mongolia,0,0,1,0,1,0,0,1,0,1,2017
Daylight Studios,664320,2017-10-13,Holy Potatoes! What the Hell?!,0,0,0,0,1,0,0,1,0,1,2017
RewindApp,719100,2017-10-13,Space Way,0,0,0,0,1,0,0,0,0,0,2017
EvilCoGames,710790,2017-10-13,Star Story: The Horizon Escape - ArtBook PDF (Devs support pack),0,1,1,0,1,0,0,0,0,0,2017
Coconut Tree Studio,660220,2017-06-16,Cyber Utopia - Artworks.,1,1,1,0,0,0,0,0,0,0,2017
"KADOKAWA,Murray Atkinson",462088,2017-10-12,RPG Maker VX Ace - Heist Music Pack,0,0,0,0,0,0,0,0,0,0,2017
"KADOKAWA,Sherman3D",406074,2017-10-12,RPG Maker VX Ace - Futuristic School Tiles,0,0,0,0,0,0,0,0,0,0,2017
"Beamz Interactive, Inc.",732760,2017-10-12,Jam Studio VR - Fingerprints in the Sky - Craig Chaquico Bundle,0,0,1,0,0,0,0,0,0,0,2017
JetCat Games,433530,2017-10-12,Heliborne,1,0,0,0,1,0,0,0,0,0,2017
BOBAFETTA,681340,2017-10-12,ARRAYNIUM,0,0,1,0,0,0,0,0,0,0,2017
Sergey Lir,708920,2017-10-12,I Can See the Future,1,0,0,0,1,0,0,0,0,0,2017
Hail Mary Games,724340,2017-10-12,Scavenger,0,0,1,0,1,0,0,0,0,1,2017
Diel Mormac Games,684230,2017-12-11,Madcap Castle,0,0,0,0,1,0,0,0,0,0,2017
NS STUDIO,654176,2017-10-13,Blacksquad - M4 CUSTOM FIRST RELEASE PACKAGE,1,0,0,0,0,0,0,0,0,0,2017
Stegalosaurus Game Development,592815,2017-10-13,"SUPER ARMY OF TENTACLES 3, XPACK II: Call of Koithulhu",0,1,0,0,1,1,0,0,0,0,2017
Alternative Software Ltd,636460,2017-10-13,Rugby League Team Manager 2018,0,0,0,0,0,0,0,1,1,0,2017
Just Flight,609826,2017-10-13,FSX: Steam Edition - McDonnell Douglas DC-8™ Series 10 - 40 Add-On,0,0,0,0,0,0,0,1,0,0,2017
Chris Bell - Creative Design Studios,643670,2017-10-13,FSX Steam Edition: Night Environment Italy Add-On,0,0,0,0,0,0,0,1,0,0,2017
Golden Age Creative,683630,2017-10-13,Half Past Disaster,0,0,0,0,1,0,0,0,0,0,2017
Golden Age Creative,689630,2017-10-13,Half Past Disaster Soundtrack,0,0,0,0,1,0,0,0,0,0,2017
RKTime,658630,2017-10-13,Anonymous ME,1,0,0,0,0,1,0,0,0,0,2017
Etiquete,719550,2017-10-12,Puzzler,0,0,1,0,1,0,0,0,0,0,2017
Real Maxwell,706210,2017-10-12,Haul Asteroid,1,0,1,0,1,0,0,0,0,0,2017
Stroboskop,729540,2017-10-12,Sylvio 2 Original Soundtrack,0,1,0,0,0,0,0,0,0,0,2017
"IllFonic, LLC",719330,2017-10-12,Friday the 13th: The Game - Emote Party Pack 1,1,0,0,0,0,0,0,0,0,0,2017
JetCat Games,730530,2017-10-12,Heliborne - Air Show Camouflage Pack,1,0,0,0,1,0,0,0,0,0,2017
JetCat Games,730480,2017-10-12,Heliborne - Civil Aviation Camouflage Pack,1,0,0,0,1,0,0,0,0,0,2017
JetCat Games,730500,2017-10-12,Heliborne - Law Enforcement Camouflage Pack,1,0,0,0,1,0,0,0,0,0,2017
JetCat Games,726700,2017-10-12,Heliborne - Czech &amp; Slovak Air Force Camouflage Pack,1,0,0,0,1,0,0,0,0,0,2017
JetCat Games,729760,2017-10-12,Heliborne - Exclusive Camouflage Pack,1,0,0,0,1,0,0,0,0,0,2017
Paulo A. M. Villalva,702270,2017-10-11,DevWill,1,0,0,0,0,0,0,0,0,0,2017
JetCat Games,730350,2017-10-12,Heliborne - Soundtrack and Goodies,1,0,0,0,1,0,0,0,0,0,2017
Star Legion,723700,2017-10-11,Rebons: Original Soundtrack,1,1,1,0,1,0,0,0,1,0,2017
洋葱头科技,695650,2017-10-11,猎人物语,1,0,0,0,0,0,0,0,0,0,2017
Compot,634150,2017-10-12,ReSizE,1,0,0,0,0,0,0,0,0,1,2017
Crazysoft Limited,724460,2016-01-21,Palm Reading Premium,0,0,0,1,0,0,0,0,0,0,2016
DigitalWolfByte,717380,2017-10-12,Yerah,0,1,1,0,1,1,0,1,0,0,2017
wei,700490,2017-09-05,玄龙棋MysteriesDragonChess,0,0,1,0,1,0,0,0,0,1,2017
Amazu Media,728980,2017-10-03,Light Apprentice Soundtrack,1,1,0,0,1,1,0,0,0,0,2017
Dexion Games,722940,2017-10-12,Mighty Action RPG,1,1,1,0,1,1,0,0,0,0,2017
Dexion Games,722240,2017-10-12,Devour them all,1,0,1,0,1,0,0,0,0,0,2017
Victory Works,562398,2017-10-12,Train Simulator: GWR Large Prairies Steam Loco Add-On,0,0,0,0,0,0,0,1,0,0,2017
Trains &amp; Drivers,376944,2017-10-12,Train Simulator: The Alaska Railroad: Anchorage - Seward Route Add-On,0,0,0,0,0,0,0,1,0,0,2017
Vidas Salavejus,709140,2017-10-12,A Dream For Aaron,1,1,1,0,1,0,0,0,0,0,2017
Uruca Game Studio,508200,2017-08-22,Bacon Tales - Between Pigs and Wolves,0,0,1,0,1,0,0,0,0,1,2017
Mark France,673730,2017-10-12,Aurrery,0,0,0,0,1,0,0,1,0,0,2017
empty assembly,696060,2017-10-12,Live,1,0,0,0,1,0,0,0,0,0,2017
Tango Gameworks,601430,2017-10-12,The Evil Within 2,1,1,0,0,0,0,0,0,0,0,2017
Byzantine Games,660160,2017-10-12,Field of Glory II,0,0,0,0,0,0,0,1,0,1,2017
Unknown Hero,730340,2017-10-11,Rocks and Rockets Soundtrack,0,1,0,0,1,0,0,0,0,0,2017
Progorion,686680,2017-10-12,Computer Tycoon,0,0,0,0,1,0,0,1,0,1,2017
Koker_007,699680,2017-10-11,Monopolka,0,0,1,0,1,0,0,0,0,0,2017
"CSM,Excellente23",715840,2017-10-11,PooSky,0,0,1,0,1,0,0,0,0,0,2017
"CSM,Excellente23",725420,2017-10-13,"PooSky -  Artbook ""Great statements by Capitain Pooper""",0,0,1,0,1,0,0,0,0,0,2017
Okinawa Sunrise,731540,2017-10-11,I was here - Bonus Wallpapers,0,0,1,0,1,0,0,0,0,0,2017
Bjarki Arge Andreasen,729130,2017-10-05,Sound Soarer,0,0,1,0,1,0,0,0,0,0,2017
Golden Bear's GAMEWORKS,722010,2017-09-23,B A S E M E N T,0,0,0,0,1,0,0,0,0,0,2017
"SmiteWorks USA, LLC",732200,2017-10-10,Fantasy Grounds - Southlands Heroes (5E),0,0,0,0,1,1,0,0,0,1,2017
"imos AG,MOS Consult",714270,2017-05-22,imos LOFT,0,0,0,0,0,0,0,0,0,0,2017
BKOM Studios,663380,2017-10-11,Tales from Candlekeep: Tomb of Annihilation,0,1,0,0,0,1,0,0,0,1,2017
Anxious Neck Games,716150,2017-10-11,Nakawak,1,1,0,0,1,0,0,0,0,0,2017
Classplash,723770,2017-10-11,Flute Master - Play 6,0,0,0,0,1,0,0,0,0,0,2017
Cublo,677650,2017-10-11,Brass,0,0,0,0,0,0,0,0,0,1,2017
DOT Entertainment,714050,2017-10-11,Undead,1,1,0,0,1,0,0,0,0,1,2017
IHS,710640,2017-10-11,UNDERGROUND CLUB 2018,0,0,1,0,1,0,1,1,0,0,2017
ANDORE,718910,2017-10-11,Vitamin Girl,1,0,0,0,1,0,0,0,0,0,2017
Stroboskop,686500,2017-10-11,Sylvio 2,0,1,0,0,0,0,0,0,0,0,2017
For Kids,731220,2017-10-11,Vampires! - Wallpapers &amp; OST,0,0,1,0,1,0,0,0,0,0,2017
Babloon Studios,711760,2018-09-25,Bound To Light,0,1,0,0,1,0,0,0,0,0,2018
"Moss Co., Ltd.",570050,2017-10-10,Raiden V: Director's Cut | 雷電 V Director's Cut | 雷電V:導演剪輯版,1,0,0,0,0,0,0,0,0,0,2017
Slayers' Stronghold Studios,715430,2017-10-10,Going Astray,1,0,0,0,1,0,0,0,0,0,2017
Anime squad,718660,2017-09-01,Magic matchstick,0,0,1,0,1,0,0,0,0,0,2017
"Beamz Interactive, Inc.",730070,2017-10-10,Jam Studio VR - Disney Phineas and Ferb Bundle,0,0,1,0,0,0,0,0,0,0,2017
ILLUMICORP,714350,2017-09-11,C2H6O,1,0,0,0,0,0,0,0,0,0,2017
Startreming,661490,2017-10-10,Insert Paper,0,0,0,0,1,0,0,0,0,0,2017
Beard Games Studio,721350,2017-10-10,Where Are My Friends?,0,1,0,0,1,0,0,0,0,0,2017
"Psyonix, Inc.",675290,2017-10-09,Rocket League® – Fast &amp; Furious™ '99 Nissan Skyline GT-R R34,1,0,0,0,1,0,1,0,1,0,2017
"Psyonix, Inc.",675280,2017-10-09,Rocket League® – Fast &amp; Furious™ '70 Dodge® Charger R/T,1,0,0,0,1,0,1,0,1,0,2017
Grid Game,714280,2017-10-10,Time Up,1,1,1,0,1,0,0,0,0,0,2017
"SmiteWorks USA, LLC",731780,2017-10-10,Fantasy Grounds - Mythic Monster #7: Inner Planes (PFRPG),0,0,0,0,1,1,0,0,0,1,2017
"SmiteWorks USA, LLC",732170,2017-10-10,Fantasy Grounds - Treasury of the City (PFRPG),0,0,0,0,1,1,0,0,0,1,2017
JDRumble,716600,2017-10-10,Premier Buggy Racing Tour,0,0,0,0,1,0,1,0,1,0,2017
Pixel Guy,719370,2017-10-10,ELE BLAZE,1,0,0,0,0,0,0,0,0,0,2017
TeamTop Games,673940,2017-10-10,Dragon Glory,1,1,0,0,0,1,0,0,0,0,2017
